"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","AIML","Development and Implementation","Intelligent Reasoning","Design and build intelligent machine reasoning systems that can integrate, make sense of, and act upon heterogeneous sensory information sources, using domain knowledge accumulated in respective industries","ICT-ACE-4030-1.1","[""Machine Learning"", ""Knowledge Representation"", ""Logic Programming""]","https://en.wikipedia.org/wiki/Reasoning_system","[""AI Reasoning"", ""Knowledge Graphs"", ""Inference Systems""]","5",,,"Algorithm design review, Model accuracy tests, Case studies","No specific major certification, advanced degrees in AI common","Building a reasoning system for fraud detection in Indian banking",,"Futuristic","High","Intelligent reasoning systems must be transparent and avoid bias, aligning with upcoming Indian AI e","https://www.aaai.org","Reasoning accuracy, Explainability score, Processing speed","Black box reasoning, Bias in knowledge base, High computational cost","AI Research Scientist, Machine Learning Engineer, Data Scientist","Knowledge Engineering, Algorithm Development, Model Training, System Integration","1. Define the domain and reasoning tasks. 2. Acquire and represent knowledge. 3. Select or develop reasoning algorithms. 4. Train and validate the reasoning model. 5. Integrate into the produ","Gather domain knowledge, Build knowledge graph, Develop reasoning algorithms, Integrate with application","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Digital and Data Analytics","Digital and Data Analytics","302","Technical Skills","Digital-Technology related Skills","Development and Implementation","Configuration Tracking","Track systematically and manage changes and revisions in software projects to ensure that all changes are accounted for and to protect assets against unauthorized change, diversion and inappropriate use","ICT-DIT-1004-1.2","[""Version Control"", ""Change Management"", ""Release Management""]","https://en.wikipedia.org/wiki/Version_control","[""Version Control"", ""Git"", ""Change Tracking""]","3",,,"Practical git exercises, Audit trail review, Tool proficiency tests","GitHub Certified, Atlassian Certified (Jira, Bitbucket)","Managing code changes for a software project using Git in an Indian startup",,"Basic","Medium","Configuration tracking helps maintain software integrity, supporting compliance with IT Act amendmen","https://git-scm.com/doc","Number of configuration errors, Audit trail completeness, Rollback success rate","Poor commit messages, Not branching correctly, Ignoring merge conflicts","DevOps Engineer, Software Developer, Configuration Manager","Branching Strategies, Merge Conflict Resolution, Tagging, Tool Administration","1. Establish a version control strategy and branching model. 2. Train team on tool usage and best practices. 3. Monitor commits and merges. 4. Maintain tags and releases. 5. Audit the configu","Create repositories, Manage branches, Resolve merge conflicts, Tag releases","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","Data analytics","Development and Implementation","Data Engineering","Develop and implement efficient and stable processes to collect, store, extract, transform, load and integrate data at various stages in the data pipeline. This also involves processing varying amounts of data from a variety of sources and preparing data in a structure that is easily access and analysed according to business requirements","ICT-DIT-2005-1.1","[""ETL Development"", ""Data Pipelines"", ""Big Data Technologies""]","https://en.wikipedia.org/wiki/Data_engineering","[""Data Pipeline"", ""ETL"", ""Big Data""]","4",,,"Pipeline design review, Code review for data jobs, Performance benchmarking","Google Cloud Professional Data Engineer, AWS Certified Data Analytics - Specialty","Building a real-time data pipeline for a Indian OTT platform",,"High-demand","High","Data engineering must implement processes that comply with data localization guidelines suggested in","https://www.dama.org/cpages/body-of-knowledge","Data pipeline latency, Data quality metrics, Job success rate","Inefficient data transformations, Poor schema evolution handling, Lack of monitoring","Data Engineer, Big Data Architect, ETL Developer","Data Modeling, Pipeline Orchestration, Performance Tuning, Data Quality Checks","1. Ingest data from source systems. 2. Clean, transform, and enrich the data. 3. Load data into target storage. 4. Monitor pipeline health and performance. 5. Ensure data quality and reliabil","Write ETL scripts, Orchestrate data pipelines, Monitor data quality, Optimize performance","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Cyber Security","Cyber Security","254","Compliance & Regulatory Skills","Industry compliance","Development and Implementation","Security Assessment and Testing","Conduct threat modelling, vulnerability assessment and penetration testing to reveal vulnerabilities or lapses in the existing systems or security mechanisms and evaluate the extent to which systems are able to protect the organisation's data and maintain functionality as intended","ICT-DIT-2012-1.1","[""Penetration Testing"", ""Vulnerability Scanning"", ""Threat Modeling""]","https://en.wikipedia.org/wiki/Penetration_test","[""Pen Testing"", ""Vulnerability Assessment"", ""Security Testing""]","4",,,"Practical penetration testing, Report writing, Tool proficiency","CEH (Certified Ethical Hacker), OSCP (Offensive Security Certified Professional)","Conducting a penetration test for a Indian government web portal",,"High-demand","High","Security testing must be authorized and conducted within the legal framework defined in the IT Act, ","https://www.nist.gov/cyberframework","Number of vulnerabilities found, Severity of findings, Time to remediate","Not getting proper authorization, False positives/negatives, Incomplete scope","Penetration Tester, Security Analyst, Vulnerability Assessor","Reconnaissance, Vulnerability Scanning, Exploitation, Reporting","1. Plan and define the scope of the assessment. 2. Conduct reconnaissance and discovery. 3. Identify and analyze vulnerabilities. 4. Attempt exploitation where possible. 5. Document findings ","Define test scope, Run scanning tools, Attempt exploits, Write reports","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Operations and Support","Operations and Support","258","Technical Skills","Digital-Technology related Skills","Development and Implementation","Software Testing","Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria","ICT-DIT-2015-1.2","[""Test Case Design"", ""Automated Testing"", ""Defect Management""]","https://en.wikipedia.org/wiki/Software_testing","[""QA"", ""Test Automation"", ""Bug Tracking""]","3",,,"Test case design review, Execution of test suites, Defect logging accuracy","ISTQB Certified Tester, Certified Software Test Engineer (CSTE)","Leading the QA effort for a healthcare software product developed in India",,"High-demand","Medium","Software testing for medical devices must comply with standards set by the Central Drugs Standard Co","https://www.istqb.org","Test coverage, Defect leakage, Automation percentage","Inadequate test coverage, Poor bug reports, Not testing on diverse devices","QA Engineer, Test Manager, Automation Engineer","Test Planning, Test Case Development, Test Execution, Defect Reporting","1. Analyze requirements and design test strategy. 2. Develop test cases and test data. 3. Execute manual and automated tests. 4. Log and track defects. 5. Report test status and metrics.","Write test cases, Execute manual tests, Develop automated scripts, Report bugs","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","AIML","Development and Implementation","Computational Modelling","Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks. This also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issues or requirements","ICT-DIT-3001-1.1","[""Algorithm Design"", ""Statistical Modeling"", ""Simulation""]","https://en.wikipedia.org/wiki/Computational_model","[""Algorithms"", ""Simulation"", ""Statistical Models""]","5",,,"Model design review, Code review for algorithms, Prediction accuracy tests","No specific major certification, advanced degrees common","Building a computational model for predicting monsoon patterns for Indian agriculture",,"Futuristic","High","Models used in critical sectors like agriculture or finance may need validation as per relevant Indi","https://www.sciencedirect.com/topics/computer-science/computational-modeling","Model accuracy, Computational efficiency, Generalization error","Overfitting, Underfitting, Using inappropriate algorithms","Data Scientist, Research Scientist, Algorithm Developer","Problem Formulation, Algorithm Selection, Model Training, Validation","1. Define the problem and formulate the model. 2. Select appropriate algorithms and techniques. 3. Gather and preprocess data. 4. Train, validate, and tune the model. 5. Deploy and monitor th","Formulate the problem, Select algorithms, Train models, Validate results","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Operations and Support","Operations and Support","258","Technical Skills","Digital-Technology related Skills","Development and Implementation","Applications Development","Develop applications based on the design specifications; encompassing coding, testing, debugging, documenting and reviewing and/or refining it across the application development stages in accordance with defined standards for development and security. The complexity of the application may range from a basic application to a context-aware and/or augmented reality application that incorporates predictive behaviour analytics, geo-spatial capabilities and other appropriate algorithms. The technical skill includes the analysis and possibly the reuse, improvement, reconfiguration, addition or integration of existing and/or new application components.","ICT-DIT-3002-1.2","[""Programming"", ""Software Development Lifecycle"", ""Debugging""]","https://en.wikipedia.org/wiki/Software_development","[""Coding"", ""SDLC"", ""Debugging""]","4",,,"Code review, Programming tests, Project portfolio assessment","Oracle Java Certifications, Microsoft Certified: Azure Developer Associate","Developing a mobile application for rural digital literacy in India",,"High-demand","High","Application development must adhere to the accessibility guidelines referenced in the Rights of Pers","https://www.apple.com/ios/app-store/review/guidelines","Code quality metrics, On-time delivery, Bug count","Poor code structure, Insufficient comments, Not following coding standards","Software Developer, Application Architect, Tech Lead","Coding, Unit Testing, Debugging, Code Review","1. Understand requirements and design. 2. Write clean, efficient, and well-documented code. 3. Perform unit testing and debugging. 4. Participate in code reviews. 5. Integrate code into the m","Write code, Debug errors, Write unit tests, Participate in reviews","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","Data analytics","Development and Implementation","Data Visualisation","Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience","ICT-DIT-3006-1.1","[""Dashboard Design"", ""Business Intelligence"", ""Storytelling with Data""]","https://en.wikipedia.org/wiki/Data_visualization","[""Dashboards"", ""BI Tools"", ""Data Stories""]","3",,,"Dashboard design critique, Storytelling presentation, Tool proficiency","Tableau Desktop Certified Associate, Microsoft Power BI Certification","Creating interactive dashboards for sales analysis in a Indian FMCG company",,"High-demand","Medium","Visualizations must accurately represent data without misrepresentation, adhering to general consume","https://www.tableau.com/learn","User engagement with dashboards, Insightfulness, Load time","Misleading charts, Cluttered visuals, Slow performance","Data Analyst, BI Developer, Data Visualization Specialist","Chart Selection, Dashboard Layout, Interactivity Design, Storyboarding","1. Understand the data and key messages. 2. Select appropriate chart types. 3. Design the layout for clarity. 4. Add interactivity for exploration. 5. Test with users and refine.","Connect to data sources, Design charts, Build dashboards, Present insights","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Product Development","Product Development","259","Technical Skills","Digital-Technology related Skills","Development and Implementation","Quality Engineering","Create, deploy and maintain quality-related systems, processes and tools to establish an environment that supports process and product quality","ICT-DIT-3011-1.1","[""Test Automation"", ""Process Improvement"", ""Quality Assurance""]","https://en.wikipedia.org/wiki/Quality_engineering","[""Test Automation"", ""CI/CD"", ""Quality Metrics""]","4",,,"Process audit, Automation framework review, Quality metrics analysis","ISTQB Advanced Level Test Manager, ASQ Certified Quality Engineer (CQE)","Implementing a CI/CD pipeline with automated testing for a Indian software product company",,"High-demand","High","Quality processes in automotive or medical software must comply with specific Indian quality standar","https://www.istqb.org","Defect density, Automation coverage, Build success rate","Focusing only on automation, Ignoring manual testing, Poor tool selection","Quality Assurance Manager, Automation Architect, DevOps Engineer","Test Strategy, Tool Selection, Framework Development, Metrics Analysis","1. Define quality goals and metrics. 2. Select and implement testing tools. 3. Develop automated testing frameworks. 4. Integrate testing into CI/CD pipelines. 5. Monitor and report on qualit","Define quality metrics, Develop test scripts, Integrate with CI/CD, Analyze results","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Cyber Security","Cyber Security","254","Compliance & Regulatory Skills","Industry compliance","Development and Implementation","Security Programme Management","Develop and manage security solutions, products and services through technology innovation, experimentation and collaboration. This includes security programme planning, developing and testing new security capabilities and implementing security technologies and programmes","ICT-DIT-3013-1.1","[""Security Governance"", ""Risk Management"", ""Security Operations""]","https://en.wikipedia.org/wiki/Information_security_management","[""Security Governance"", ""CISO"", ""Security Framework""]","5",,,"Program strategy review, Budget planning exercise, Incident response simulation","CISM (Certified Information Security Manager), CISSP-ISSMP","Establishing and running a comprehensive security program for a Indian e-commerce giant",,"High-demand","High","Security program management is crucial for compliance with mandatory data breach notification rules ","https://www.iso.org/standard/75281.html","Reduction in security incidents, Program maturity level, Audit compliance","Lack of executive buy-in, Underfunded programs, Siloed security efforts","CISO, Security Program Manager, GRC Manager","Strategy Development, Budgeting, Vendor Management, Incident Response Planning","1. Develop a security strategy aligned with business goals. 2. Establish policies, standards, and procedures. 3. Implement security controls and technologies. 4. Manage security operations an","Develop security policies, Manage security budget, Oversee security ops, Report to board","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Technical Skills","Digital-Technology related Skills","Development and Implementation","System Integration","Develop and implement a roadmap and specific integration solutions to facilitate integration of various ICT components and optimise inter-operability of systems and their interfaces. This includes the integration of various architectural components such as networks, servers, system platforms and their interfaces","ICT-DIT-3016-1.1","[""API Development"", ""Middleware"", ""Legacy System Modernization""]","https://en.wikipedia.org/wiki/System_integration","[""API Integration"", ""Middleware"", ""Legacy Systems""]","4",,,"Integration design review, API testing, End-to-end testing","No specific major certification, vendor-specific integration certs common","Integrating various state government legacy systems for a national portal in India",,"High-demand","High","System integration, especially for government data, must adhere to interoperability standards set by","https://www.opengroup.org/soa","Integration success rate, System downtime during integration, Data consistency","Point-to-point integration, Lack of API governance, Inadequate error handling","Integration Architect, Middleware Specialist, API Developer","API Design, Middleware Configuration, Data Mapping, Testing","1. Analyze systems to be integrated. 2. Design the integration architecture and APIs. 3. Develop connectors and middleware. 4. Perform rigorous integration testing. 5. Deploy and monitor the ","Design integration flow, Develop APIs, Configure middleware, Test integrations","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Product Development","Product Development","259","Technical Skills","Digital-Technology related Skills","Development and Implementation","Agile Software Development","Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user","ICT-DIT-3019-1.1","[""Scrum"", ""Kanban"", ""Iterative Development""]","https://en.wikipedia.org/wiki/Agile_software_development","[""Scrum"", ""Sprints"", ""Iterative Development""]","4",,,"Team velocity tracking, Sprint review participation, Retrospective facilitation","Certified Scrum Developer (CSD), PMI Agile Certified Practitioner (PMI-ACP)","Working as a developer in a Scrum team building a fintech application in India",,"High-demand","Medium","Agile development must still incorporate necessary documentation and controls required by Indian reg","https://www.scrum.org","Sprint velocity, Burndown rate, Feature completion rate","Ignoring technical debt, Not adapting ceremonies to context, Poor backlog grooming","Scrum Master, Agile Coach, Software Developer","Sprint Planning, Daily Stand-ups, Code Development, Sprint Review","1. Participate in sprint planning and estimation. 2. Develop features during the sprint. 3. Collaborate daily with the team. 4. Demonstrate work at the sprint review. 5. Reflect and improve i","Attend planning meetings, Write code, Attend daily stand-ups, Demo work","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Technical Skills","Digital-Technology related Skills","Development and Implementation","Cloud Computing","Implement cloud solutions to enhance business performance and security of IT systems","ICT-DIT-3020-1.1","[""Cloud Architecture"", ""Cloud Deployment"", ""Cloud Security""]","https://en.wikipedia.org/wiki/Cloud_computing","[""AWS"", ""Azure"", ""GCP"", ""Cloud Migration""]","4",,,"Cloud architecture design, Hands-on lab exercises, Cost optimization analysis","AWS Certified Solutions Architect, Microsoft Certified: Azure Administrator Associate","Migrating an on-premise application to a public cloud for a Indian SME",,"High-demand","High","Cloud computing usage must consider data localization requirements as advised by RBI for financial d","https://aws.amazon.com/architecture","Cost optimization, Application performance, Security compliance","Unplanned cloud costs, Poor security configuration, Vendor lock-in","Cloud Architect, Cloud Engineer, DevOps Engineer","Cloud Provisioning, Migration Planning, Cost Management, Security Configuration","1. Assess on-premise environment and requirements. 2. Choose a cloud provider and services. 3. Design the cloud architecture. 4. Migrate applications and data. 5. Optimize costs and performan","Assess current infrastructure, Design cloud setup, Migrate applications, Monitor cloud costs","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Infrastructure","Infrastructure","256","Technical Skills","Digital-Technology related Skills","Development and Implementation","Continuous Integration and Continuous Deployment","Manage the planning, building, testing and integration of codes, and deployment of software changes and updates into a live environment","ICT-DIT-3023-1.2","[""CI/CD Pipelines"", ""Automated Testing"", ""DevOps""]","https://en.wikipedia.org/wiki/CI/CD","[""Jenkins"", ""GitLab CI"", ""DevOps Automation""]","4",,,"Pipeline configuration review, Build/deployment success rate monitoring, Troubleshooting exercises","AWS Certified DevOps Engineer - Professional, Docker Certified Associate","Setting up a CI/CD pipeline for a microservices-based application in an Indian startup",,"High-demand","High","CI/CD processes must include security scanning steps to comply with secure software development life","https://www.jenkins.io","Build success rate, Deployment frequency, Lead time for changes","Flaky tests, Broken pipelines, Manual interventions","DevOps Engineer, Build and Release Engineer, SRE","Pipeline Orchestration, Tool Configuration, Monitoring, Troubleshooting","1. Version control all code and configuration. 2. Automate the build and testing process. 3. Automate the deployment process. 4. Monitor the pipeline health. 5. Continuously improve the pipel","Write pipeline scripts, Configure build tools, Monitor deployments, Troubleshoot issues","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Cyber Security","Cyber Security","254","Compliance & Regulatory Skills","Industry compliance","Development and Implementation","Network Security","Design and configure network systems to ensure the integrity of network infrastructure through the use of appropriate protection, detection and response mechanisms","ICT-DIT-3024-1.1","[""Firewall Management"", ""Intrusion Detection"", ""VPN Configuration""]","https://en.wikipedia.org/wiki/Network_security","[""Firewalls"", ""IDS/IPS"", ""Network Access Control""]","4",,,"Network design review, Configuration audit, Simulated attack response","CCNA Security, CompTIA Security+","Designing and implementing network security for a Indian universitys campus network",,"High-demand","High","Network security configurations must comply with directions issued by CERT-In (Indian Computer Emerg","https://www.cisco.com/c/en/us/products/security/index.html","Number of security incidents, Mean time to detect, Mean time to respond","Misconfigured firewalls, Default passwords, Unencrypted traffic","Network Security Engineer, Security Administrator, Network Architect","Firewall Rule Management, IDS/IPS Tuning, VPN Setup, Network Monitoring","1. Design a secure network architecture. 2. Implement and configure security appliances. 3. Establish secure remote access. 4. Monitor network traffic for anomalies. 5. Respond to and investi","Configure firewalls, Set up VPNs, Monitor network traffic, Investigate alerts","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Infrastructure","Infrastructure","256","Technical Skills","Industry-specific","Development and Implementation","Radio Frequency Engineering","Design, deploy and maintain radio frequency infrastructure for IT systems and wireless communication networks","ICT-DIT-3027-1.1","[""Wireless Communication"", ""Antenna Design"", ""Spectrum Analysis""]","https://en.wikipedia.org/wiki/Radio-frequency_engineering","[""RF Design"", ""Wireless"", ""Spectrum""]","5",,,"Circuit design review, Spectrum analyzer usage, Link budget calculation","No specific major certification, often a specialized engineering degree","Designing the RF network for a 5G trial in an Indian metropolitan city",,"Futuristic","High","RF engineering must strictly adhere to spectrum allocation and radiation norms set by the Department","https://www.ieee.org","Signal strength, Data throughput, Network coverage","Interference issues, Regulatory non-compliance, Poor antenna placement","RF Engineer, Network Planning Engineer, Telecommunications Engineer","Site Survey, Link Budget Calculation, Antenna Selection, Performance Optimization","1. Perform site surveys and coverage analysis. 2. Calculate link budgets and plan frequencies. 3. Select and design antenna systems. 4. Install and configure RF equipment. 5. Test and optimiz","Conduct site surveys, Calculate link budgets, Install antennas, Test signal strength","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Artificial Intelligence","Artificial Intelligence","301","Digital & Data Skills","AIML","Development and Implementation","Self-Learning Systems","Design and develop self-learning systems using reinforcement learning and evolutionary learning techniques","ICT-DIT-3028-1.1","[""Reinforcement Learning"", ""Neural Networks"", ""Adaptive Systems""]","https://en.wikipedia.org/wiki/Machine_learning","[""Reinforcement Learning"", ""Neural Networks"", ""Adaptive AI""]","5",,,"Algorithm design review, Simulation environment performance, Research paper analysis","No specific major certification, advanced degrees and research experience","Developing a self-learning algorithm for optimizing energy consumption in Indian smart grids",,"Futuristic","High","Self-learning systems in critical infrastructure need fail-safes and oversight mechanisms, a focus a","https://www.deepmind.com","Learning efficiency, Performance improvement over time, Stability","Unsafe exploration, Reward hacking, Lack of interpretability","AI Research Scientist, Machine Learning Engineer, Robotics Engineer","Environment Modeling, Reward Function Design, Algorithm Training, Safety Validation","1. Define the environment and goal. 2. Design the reward function. 3. Select and implement a reinforcement learning algorithm. 4. Train the agent in a simulated environment. 5. Deploy and mon","Model the environment, Define rewards, Train RL agent, Validate safety","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Product Development","Product Development","259","Digital & Data Skills","Data analytics","Development and Implementation","Data Visualisation and Storyboarding","Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience","ICT-DIT-3031-1.1","[""Data Storytelling"", ""Dashboarding"", ""Presentation Skills""]","https://en.wikipedia.org/wiki/Data_visualization","[""Storytelling"", ""Dashboards"", ""Presentations""]","3",,,"Storyboard creation, Presentation delivery, Dashboard usability testing","Tableau Desktop Certified Associate, Microsoft Power BI Certification","Creating a data story to convince Indian policymakers about a public health initiative",,"High-demand","Medium","Data stories for public policy must be based on accurate data sources and avoid misrepresentation.","https://www.tableau.com/learn","Audience understanding, Persuasion effectiveness, Clarity of message","Over-simplifying data, Cherry-picking data, Poor narrative flow","Data Analyst, Data Journalist, Business Analyst","Audience Analysis, Story Structuring, Visual Design, Presentation","1. Understand the audience and key message. 2. Structure a compelling narrative. 3. Select visuals that support the story. 4. Create a storyboard or presentation. 5. Practice and deliver the ","Analyze audience, Create story outline, Design visuals, Deliver presentation","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Software and Applications","Software and Applications","257","Compliance & Regulatory Skills","Industry compliance","Development and Implementation","Embedded Systems Programming","Program an embedded system using permitted programming interfaces provided by the system to support creation of devices that do not operate on traditional operating systems","ICT-DIT-4007-1.1","[""Incident Response"", ""Threat Monitoring"", ""Vulnerability Management""]","https://en.wikipedia.org/wiki/Security_operations_center","[""SOC"", ""Incident Response"", ""Threat Hunting""]","4",,,"Incident response simulation, SIEM tool proficiency, Playbook execution","CISSP, GCIH (GIAC Certified Incident Handler)","Working in a Security Operations Center (SOC) for a major Indian bank",,"High-demand","High","Security operations must follow the incident response and reporting guidelines mandated by CERT-In a","https://www.sans.org/security-resources/incident-response/","Mean time to detect (MTTD), Mean time to respond (MTTR), Number of incidents handled","Alert fatigue, Poor documentation, Lack of coordination","SOC Analyst, Incident Responder, Threat Hunter","Log Analysis, Incident Triage, Investigation, Containment","1. Monitor security alerts and logs. 2. Triage and investigate potential incidents. 3. Contain and eradicate threats. 4. Recover systems and operations. 5. Document and learn from incidents.","Monitor security alerts, Investigate incidents, Contain threats, Write reports","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Technical Skills","Digital-Technology related Skills","Development and Implementation","Computer Vision Technology","Develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems","ICT-DIT-4022-1.1","[""Front-end Development"", ""Back-end Development"", ""Web Standards""]","https://en.wikipedia.org/wiki/Web_development","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Node.js""]","3",,,"Code review, Website build exercise, Cross-browser testing","Microsoft Certified: Azure Developer Associate, FreeCodeCamp Certifications","Building a responsive website for a Indian handicrafts marketplace",,"High-demand","Medium","Websites must comply with the Guidelines for Indian Government Websites (GIGW) and accessibility sta","https://www.w3.org/standards/webdesign","Page load time, Cross-browser compatibility, Accessibility score","Not responsive design, Security vulnerabilities, Poor SEO","Web Developer, Front-end Developer, Full-stack Developer","HTML/CSS Coding, JavaScript Programming, API Integration, Testing","1. Gather requirements and design wireframes. 2. Develop the front-end with HTML, CSS, and JS. 3. Develop the back-end logic and databases. 4. Integrate front-end and back-end. 5. Test and de","Write HTML/CSS, Develop back-end code, Test website functionality, Deploy website","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Infrastructure","Infrastructure","256","Digital & Data Skills","Digital-Technology related Skills","Development and Implementation","Network Slicing","Create logically partitioned networks from a shared infrastructure to provide optimised and customised services for different users based on service level agreements","ICT-DIT-4025-1.1","[""5G Network Architecture"",""Software Defined Networking"",""Network Function Virtualization""]","https://en.wikipedia.org/wiki/Network_slicing","[""Network Slicing"",""5G"",""Service Level Agreement""]","4",,,"Practical implementation and written test","Cisco Certified Network Professional,5G Certification Forum India","Implementing network slicing for a telecom service provider in India",,"Emerging","High","Compliance with TRAI regulations on quality of service and data privacy.","https://www.etsi.org/technologies/network-slicing","Network uptime,Slice performance,SLA adherence","Incorrect slice isolation,Poor resource allocation","Network Architect,Telecom Consultant","Network Virtualization,Quality of Service Management,Cloud Networking","Understand requirements,Design slice architecture,Implement isolation,Test performance,Monitor and optimize","Design logical network partitions,Configure network resources,Monitor slice performance,Manage service level agreements","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","Data analytics","Development and Implementation","Pattern Recognition Systems","Develop and apply intelligent pattern recognition systems and techniques to analyse data and derive useful hidden patterns to solve problems","ICT-DIT-4026-1.1","[""Machine Learning"",""Data Mining"",""Statistical Analysis""]","https://en.wikipedia.org/wiki/Pattern_recognition","[""Pattern Recognition"",""Data Analysis"",""Machine Learning""]","4",,,"Project-based assessment and technical interview","Certified Analytics Professional,IIT Bombay Pattern Recognition Course","Developing a fraud detection system for an Indian financial institution",,"High-demand","High","Must adhere to RBI guidelines for algorithmic transparency and data security.","https://www.ieee.org/","Accuracy,Precision,Recall,Computational efficiency","Overfitting on training data,Poor feature selection","Data Scientist,AI Researcher","Feature Extraction,Classification Algorithms,Cluster Analysis","Data collection,Feature engineering,Model selection,Training,Evaluation,Deployment","Collect and preprocess data,Extract features,Train recognition models,Evaluate model performance,Deploy system","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Data and Artificial Intelligence","Data and Artificial Intelligence","255","Digital & Data Skills","Data analytics","Development and Implementation","Text Analytics and Processing","Identify, extract and analyse text data using text analytics solutions to discover themes, patterns and trends","ICT-DIT-4029-1.1","[""Natural Language Processing"",""Sentiment Analysis"",""Information Retrieval""]","https://en.wikipedia.org/wiki/Text_mining","[""Text Analytics"",""NLP"",""Data Mining""]","4",,,"Code review and analysis of processed outputs","NLP certifications from upGrad,Simplilearn","Building a customer feedback analysis tool for an Indian e-commerce platform",,"High-demand","High","Processing text data must comply with IT Act 2000 and PDPB 2019 regarding personal data handling.","https://www.aclweb.org/portal/","Sentiment accuracy,Entity recognition rate,Processing speed","Inaccurate tokenization,Poor handling of Indian languages","NLP Engineer,Data Analyst","Tokenization,Lemmatization,Named Entity Recognition","Text acquisition,Preprocessing,Feature extraction,Model application,Result interpretation","Identify text sources,Clean and normalize text,Perform sentiment analysis,Generate trend reports","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
"Software and Applications","Software and Applications","257","Technical Skills","Digital-Technology related Skills","Development and Implementation","Control System Programming","Develop capabilities in areas of communications and remote operations by programming logic circuits and erasable programmable read-only memory for ships, rigs and/or conversions","ICT-EPM-2036-1.1","[""PLC Programming"",""Embedded Systems"",""Automation""]","https://en.wikipedia.org/wiki/Programmable_logic_controller","[""Control Systems"",""PLC"",""Marine Automation""]","4",,,"Practical hardware programming test","ISA Certified Automation Professional,PLC programming courses","Programming control systems for ship navigation and rig operations",,"Basic","Medium","Compliance with DG Shipping guidelines for marine electronic systems.","https://www.isa.org/","System reliability,Response time,Error rate","Logic errors in ladder diagrams,Inadequate safety interlocks","Automation Engineer,Marine Systems Engineer","Ladder Logic Programming,EPROM Writing,System Diagnostics","Understand operational requirements,Design logic,Program PLC/EPROM,Simulate,Deploy,Test","Develop control logic,Program erasable memory,Test circuit functionality,Provide technical documentation","Active","Approved","5","20",,,"2025-09-09 17:49:34",,
